_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,source,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,id,retweetcount,screenname,source_gold,text,type_of_advice_or_caution_gold,userid,what_gold,when_gold,where_gold
191783056,false,finalized,3,8/19/2012 18:01:29,"

",A tornado/thunderstorm warning has been issued or has been lifted,1.0,"Tornado warning
Tornado warning
Tornado warning","today
Today
","OHIO
TOLEDOOHIO
N/A",Caution and advice,74943500000000000,0,1stJoshRobinson,,"Yesterday was supposed to be 70 and sunny/cold and rain. Today was supposed to be 90 and sunny, guess what? Tornado warning #FUCKTOLEDOOHIO",,85940638,,,
191783057,false,finalized,3,8/16/2012 16:46:00,"@Juss2Live

@Juss2Live",A tornado/thunderstorm warning has been issued or has been lifted,0.657,"tornado warnings
tornado warnings
tornado warnings","

n/a","CT
N/A
CT",Caution and advice,76134500000000000,0,BadAssNigerian,, @Juss2Live: News was goin crazy about tornado  warnings n it didn even rain ! -__- - shit was wild over in CT . 4 ppl died,,50420551,,,
191783058,false,finalized,3,8/19/2012 16:45:17,"

@spann",A shelter is open or available,1.0,"should be in a tornado safe place
should be in a tornado safe plac
tornado safe place","

","Oklahoma
campus of the University of Oklahoma
campus of the University of Oklahoma",Caution and advice,73159800000000000,36,DAWNOFNEWDAYS,, @spann: Everybody on the campus of the University of Oklahoma should be in a tornado safe place now. #okwx,,293761684,,,
191783059,false,finalized,3,8/17/2012 01:16:07,"

",A tornado sighting/touchdown has been reported,1.0,"tornado
tornado about to hit the ground
tornado about to hit the ground","

","Almyra Arkansas
Almyra Arkansas
Almyra Arkansas",Caution and advice,73524400000000000,0,BelleTwigg,,Almyra Arkansas tornado about to hit the ground,,223656733,,,
191783060,false,finalized,4,8/18/2012 19:57:25,"
N/A

n/a",A tornado/thunderstorm warning has been issued or has been lifted,0.7462,"tornado sires
Tornado Warning
Tornado Warning
Tornado Warning","
now

now","Kansas City
downtown Kansas City
Kansas City
Kansas City",Caution and advice,73432400000000000,0,DJRyanScott,,I hear the tornado sires going off now.  Buildings in downtown Kansas City being evacuated now! Tornado Warning.,,14223196,,,
191783061,false,finalized,4,8/17/2012 15:24:31,"N/A


N/A",A tornado/thunderstorm warning has been issued or has been lifted,1.0,"Tornado watch
Tornado watch canceled
Tornado watch
Tornado watch canceled","N/A


N/A","Douglas County, Coles County, & Moultrie County
Douglas County, Coles County, & Moultrie County
Douglas County, Coles County, & Moultrie County
Douglas County, Coles County, & Moultrie County",Caution and advice,73564700000000000,0,willpublicmedia,,"Tornado watch canceled for Douglas County, Coles County, & Moultrie County",,42953808,,,
191783062,false,finalized,4,8/19/2012 18:21:44,"


",A tornado/thunderstorm warning has been issued or has been lifted,0.5001,"thunderstorm watch
tornado watch
tornado watch
tornado watch","


","Saint John
Saint John
U.S.
U.S.",Caution and advice,78720400000000000,0,vanjo57,,In the U.S. they have tornado watch.. In Saint John we have severe thunderstorm watch.. #Seriously? What's the point of thunderstorm watch?,,36396275,,,
191783063,false,golden,1,8/14/2012 14:58:30,"",Other,1.0,for memorial service,"",Joplin,Caution and advice,74896700000000000,0,hannahrandolph7,,At mssu for memorial service. #Joplin #superwindy,Other,255199957,N/A,,N/A
191783064,false,finalized,4,8/19/2012 07:57:44,"
N/A

",Other,0.5027,"tornado moved away
tornado moved
tornado moved away
possible tornado moved away","
N/A

","N/A
N/A
N/A
N/A",Caution and advice,73427500000000000,0,Nicogalindo7,,Thank god possible tornado moved away from this area. Praying this tornado doesn't really cause destruction!,,229896843,,,
191783065,false,finalized,4,8/19/2012 18:21:44,"n/a
n/a

",A tornado sighting/touchdown has been reported,0.523,"Tornado headed
Tornado
Tornado
Tornado","n/a
n/a

","n/a
n/a
N/a
N/A",Caution and advice,73442400000000000,0,JockMed,,Tornado headed toward us.... we're closing down for a while ...,,279078782,,,
191783066,false,finalized,3,8/16/2012 21:34:53,"
N/A
",A tornado sighting/touchdown has been reported,1.0,"Tornado
Tornado
It's A Tornado Out Here","
now
","N/A
N/A
N/A",Caution and advice,79652400000000000,0,LadiesLoveLoTTi,,It's A Tornado Out Here Lol Trees Falling Down And Shxt!!! I Gotta Get Out The Country...This Typa Shxt Don't Happen In New York Lol,,102531348,,,
191783067,false,finalized,3,8/19/2012 15:52:32,"

n/a",Other,0.6508,"Tornado watch
Tornado watch
Tornado watch","

n/a","upstate NY
upstate NY
upstate NY",Caution and advice,73835800000000000,0,metalchick73,,"Tornado watch and already thunder, lightening and a splitting headache. What fun lies ahead (upstate NY)? #tornado",,23000926,,,
191783068,true,golden,3,8/19/2012 08:37:59,"
n/a
",A tornado sighting/touchdown has been reported,0.645,"Tornado on the ground
SEEK SHELTER IMMEDIATELY
Tornado on the ground","SEEK SHELTER IMMEDIATELY
n/a
","less than 5 miles away in Bedford
Bedford
Bedford",Caution and advice,73196400000000000,11,HappyTwilighter,," @rachelcaine: Tornado on the ground less than 5 miles away, guys. On the ground in Bedford. SEEK SHELTER IMMEDIATELY.",,16431014,SEEK SHELTER IMMEDIATELY,,in Bedford
191783069,true,golden,3,8/18/2012 19:47:42,"
N/A
n/a",A tornado sighting/touchdown has been reported,0.6807,"Tornado reported
Tornado reported
Tornado","
N/A
n/a","Bellingham and Milford
Bellingham and Milford
Bellingham and Milford",Caution and advice,76058100000000000,0,FozzieDBear,,Wow. Tornado reported over in Bellingham and Milford (two towns I drive through to go home from work) thankfully it didn't touchdown.,,47287642,Tornado reported ,,in Bellingham
191783070,false,finalized,3,8/18/2012 21:20:20,"

@CajunTechie",A tornado/thunderstorm warning has been issued or has been lifted,1.0,"tornado has been cancelled
tornado has been cancelled
tornado has been cancelled","

","#Joplin #Missouri
Joplin
Joplin #Missouri",Caution and advice,73222700000000000,1,Mozbe,, @CajunTechie: #Joplin #Missouri #tornado has been cancelled. More severe weather expected in the area tonight. Potentially severe. St ...,,5574142,,,
